,Date,col_num,food_col_kg,age
2199,2025-10-06,11,26.0,71
2200,2025-10-06,26,18.0,71
2201,2025-10-06,15,36.8,71
2202,2025-10-06,19,32.4,71
2203,2025-10-06,22,30.4,71
2204,2025-10-06,25,26.8,71
2205,2025-10-06,4,30.0,71
2206,2025-10-06,15,36.8,71
2207,2025-10-06,20,27.2,71
2208,2025-10-06,7,29.6,71
2209,2025-10-06,13,0.0,71
2210,2025-10-06,3,26.4,71
2211,2025-10-06,24,28.4,71
2212,2025-10-06,28,28.8,71
2213,2025-10-06,24,28.4,71
2214,2025-10-06,23,27.6,71
2215,2025-10-06,25,26.8,71
2216,2025-10-06,16,30.8,71
2217,2025-10-06,8,30.0,71
2218,2025-10-06,21,14.0,71
2219,2025-10-06,20,27.2,71
2220,2025-10-06,10,28.8,71
2221,2025-10-06,11,26.0,71
2222,2025-10-06,7,29.6,71
2223,2025-10-06,12,8.0,71
2224,2025-10-06,3,26.4,71
2225,2025-10-06,26,18.0,71
2226,2025-10-06,9,27.6,71
2227,2025-10-06,18,31.2,71
2228,2025-10-06,19,32.4,71
2229,2025-10-06,17,34.4,71
2230,2025-10-06,22,30.4,71
2231,2025-10-06,28,28.8,71
2232,2025-10-06,14,33.2,71
2233,2025-10-06,13,0.0,71
2234,2025-10-06,6,31.2,71
2235,2025-10-06,2,30.8,71
2236,2025-10-06,14,33.2,71
2237,2025-10-06,27,2.0,71
2238,2025-10-06,4,30.0,71
2239,2025-10-06,5,33.2,71
2240,2025-10-07,28,29.2,72
2241,2025-10-07,21,13.2,72
2242,2025-10-07,17,34.4,72
2243,2025-10-07,25,31.6,72
2244,2025-10-07,20,28.0,72
2245,2025-10-07,22,29.6,72
2246,2025-10-07,18,33.2,72
2247,2025-10-07,23,27.2,72
2248,2025-10-07,24,29.2,72
2249,2025-10-07,16,30.8,72
2250,2025-10-07,15,35.6,72
2251,2025-10-07,26,20.4,72
2252,2025-10-07,27,4.8,72
2253,2025-10-07,19,33.2,72
2254,2025-10-07,3,28.4,72
2255,2025-10-07,11,26.4,72
2256,2025-10-07,10,28.0,72
2257,2025-10-07,9,27.6,72
2258,2025-10-07,8,32.0,72
2259,2025-10-07,7,30.4,72
2260,2025-10-07,13,0.0,72
2261,2025-10-07,5,32.4,72
2262,2025-10-07,2,32.0,72
2263,2025-10-07,1,31.6,72
2264,2025-10-07,14,34.4,72
2265,2025-10-07,4,31.2,72
2266,2025-10-07,12,7.2,72
2267,2025-10-07,28,29.2,72
2268,2025-10-07,20,28.0,72
2269,2025-10-07,4,31.2,72
2270,2025-10-07,9,27.6,72
2271,2025-10-07,14,34.4,72
2272,2025-10-07,11,26.4,72
2273,2025-10-07,3,28.4,72
2274,2025-10-07,7,30.4,72
2275,2025-10-07,5,32.4,72
2276,2025-10-07,10,28.0,72
2277,2025-10-07,6,29.2,72
2278,2025-10-07,13,0.0,72
2279,2025-10-07,2,32.0,72
2280,2025-10-07,1,31.6,72
2281,2025-10-07,6,29.2,72
2282,2025-10-07,12,7.2,72
2283,2025-10-07,27,4.8,72
2284,2025-10-07,16,30.8,72
2285,2025-10-07,25,31.6,72
2286,2025-10-07,24,29.2,72
2287,2025-10-07,22,29.6,72
2288,2025-10-07,23,27.2,72
2289,2025-10-07,18,33.2,72
2290,2025-10-07,26,20.4,72
2291,2025-10-07,17,34.4,72
2292,2025-10-07,21,13.2,72
2293,2025-10-07,8,32.0,72
2294,2025-10-07,15,35.6,72
2295,2025-10-07,19,33.2,72
2296,2025-10-08,14,39.2,73
2297,2025-10-08,2,29.2,73
2298,2025-10-08,2,29.2,73
2299,2025-10-08,4,30.0,73
2300,2025-10-08,4,30.0,73
2301,2025-10-08,8,36.4,73
2302,2025-10-08,3,26.4,73
2303,2025-10-08,7,30.4,73
2304,2025-10-08,6,29.6,73
2305,2025-10-08,9,29.2,73
2306,2025-10-08,10,28.8,73
2307,2025-10-08,12,8.8,73
2308,2025-10-08,3,26.4,73
2309,2025-10-08,17,35.6,73
2310,2025-10-08,19,34.4,73
2311,2025-10-08,1,29.6,73
2312,2025-10-08,15,36.0,73
2313,2025-10-08,20,30.0,73
2314,2025-10-08,21,12.8,73
2315,2025-10-08,5,35.2,73
2316,2025-10-08,22,33.2,73
2317,2025-10-08,18,32.0,73
2318,2025-10-08,14,39.2,73
2319,2025-10-08,16,34.8,73
2320,2025-10-08,15,36.0,73
2321,2025-10-08,13,0.0,73
2322,2025-10-08,23,29.6,73
2323,2025-10-08,11,28.4,73
2324,2025-10-08,12,8.8,73
2325,2025-10-08,20,30.0,73
2326,2025-10-08,26,22.8,73
2327,2025-10-08,25,33.2,73
2328,2025-10-08,24,33.6,73
2329,2025-10-08,13,0.0,73
2330,2025-10-08,6,29.6,73
2331,2025-10-08,1,29.6,73
2332,2025-10-08,9,29.2,73
2333,2025-10-08,5,35.2,73
2334,2025-10-08,7,30.4,73
2335,2025-10-08,8,36.4,73
2336,2025-10-08,17,35.6,73
2337,2025-10-08,11,28.4,73
2338,2025-10-08,18,32.0,73
2339,2025-10-08,28,32.4,73
2340,2025-10-08,19,34.4,73
2341,2025-10-08,21,12.8,73
2342,2025-10-08,22,33.2,73
2343,2025-10-08,25,33.2,73
2344,2025-10-08,16,34.8,73
2345,2025-10-08,10,28.8,73
2346,2025-10-08,23,29.6,73
2347,2025-10-08,27,4.0,73
2348,2025-10-08,26,22.8,73
2349,2025-10-08,27,4.0,73
2350,2025-10-08,24,33.6,73
2351,2025-10-08,28,32.4,73
2352,2025-10-09,5,38.8,74
2353,2025-10-09,2,33.6,74
2354,2025-10-09,21,15.6,74
2355,2025-10-09,23,34.4,74
2356,2025-10-09,6,32.8,74
2357,2025-10-09,25,35.6,74
2358,2025-10-09,4,33.2,74
2359,2025-10-09,28,33.2,74
2360,2025-10-09,22,36.4,74
2361,2025-10-09,12,10.0,74
2362,2025-10-09,10,34.0,74
2363,2025-10-09,18,34.8,74
2364,2025-10-09,9,33.6,74
2365,2025-10-09,1,33.2,74
2366,2025-10-09,13,0.0,74
2367,2025-10-09,19,34.8,74
2368,2025-10-09,15,38.0,74
2369,2025-10-09,11,31.2,74
2370,2025-10-09,20,33.2,74
2371,2025-10-09,7,32.0,74
2372,2025-10-09,24,34.8,74
2373,2025-10-09,16,40.0,74
2374,2025-10-09,17,37.2,74
2375,2025-10-09,3,28.8,74
2376,2025-10-09,26,24.4,74
2377,2025-10-09,14,38.4,74
2378,2025-10-09,8,34.8,74
2379,2025-10-09,27,2.0,74
2380,2025-10-09,14,38.4,74
2381,2025-10-09,10,34.0,74
2382,2025-10-09,7,32.0,74
2383,2025-10-09,25,35.6,74
2384,2025-10-09,22,36.4,74
2385,2025-10-09,28,33.2,74
2386,2025-10-09,19,34.8,74
2387,2025-10-09,4,33.2,74
2388,2025-10-09,17,37.2,74
2389,2025-10-09,16,40.0,74
2390,2025-10-09,11,31.2,74
2391,2025-10-09,12,10.0,74
2392,2025-10-09,21,15.6,74
2393,2025-10-09,2,33.6,74
2394,2025-10-09,13,0.0,74
2395,2025-10-09,9,33.6,74
2396,2025-10-09,8,34.8,74
2397,2025-10-09,27,2.0,74
2398,2025-10-09,5,38.8,74
2399,2025-10-09,6,32.8,74
2400,2025-10-09,3,28.8,74
2401,2025-10-09,15,38.0,74
2402,2025-10-09,26,24.4,74
2403,2025-10-09,23,34.4,74
2404,2025-10-09,1,33.2,74
2405,2025-10-09,18,34.8,74
2406,2025-10-09,24,34.8,74
2407,2025-10-09,20,33.2,74
2408,2025-10-10,2,36.0,75
2409,2025-10-10,21,17.2,75
2410,2025-10-10,23,36.0,75
2411,2025-10-10,18,38.4,75
2412,2025-10-10,25,40.0,75
2413,2025-10-10,19,35.6,75
2414,2025-10-10,20,37.6,75
2415,2025-10-10,26,25.6,75
2416,2025-10-10,17,39.6,75
2417,2025-10-10,27,6.0,75
2418,2025-10-10,22,39.2,75
2419,2025-10-10,24,38.8,75
2420,2025-10-10,16,38.8,75
2421,2025-10-10,13,6.0,75
2422,2025-10-10,1,34.4,75
2423,2025-10-10,10,37.2,75
2424,2025-10-10,3,33.2,75
2425,2025-10-10,9,36.8,75
2426,2025-10-10,7,36.8,75
2427,2025-10-10,11,33.2,75
2428,2025-10-10,6,35.6,75
2429,2025-10-10,8,38.8,75
2430,2025-10-10,15,40.8,75
2431,2025-10-10,14,42.8,75
2432,2025-10-10,5,41.2,75
2433,2025-10-10,4,36.8,75
2434,2025-10-10,12,9.6,75
2435,2025-10-10,1,34.4,75
2436,2025-10-10,18,38.4,75
2437,2025-10-10,15,40.8,75
2438,2025-10-10,28,38.0,75
2439,2025-10-10,28,38.0,75
2440,2025-10-10,24,38.8,75
2441,2025-10-10,20,37.6,75
2442,2025-10-10,26,25.6,75
2443,2025-10-10,21,17.2,75
2444,2025-10-10,22,39.2,75
2445,2025-10-10,19,35.6,75
2446,2025-10-10,3,33.2,75
2447,2025-10-10,23,36.0,75
2448,2025-10-10,25,40.0,75
2449,2025-10-10,2,36.0,75
2450,2025-10-10,27,6.0,75
2451,2025-10-10,5,41.2,75
2452,2025-10-10,4,36.8,75
2453,2025-10-10,7,36.8,75
2454,2025-10-10,10,37.2,75
2455,2025-10-10,16,38.8,75
2456,2025-10-10,8,38.8,75
2457,2025-10-10,9,36.8,75
2458,2025-10-10,6,35.6,75
2459,2025-10-10,11,33.2,75
2460,2025-10-10,12,9.6,75
2461,2025-10-10,17,39.6,75
2462,2025-10-10,13,6.0,75
2463,2025-10-10,14,42.8,75
2464,2025-10-13,24,39.2,78
2465,2025-10-13,22,38.4,78
2466,2025-10-13,26,25.6,78
2467,2025-10-13,21,16.0,78
2468,2025-10-13,27,8.8,78
2469,2025-10-13,20,37.6,78
2470,2025-10-13,25,41.6,78
2471,2025-10-13,19,36.0,78
2472,2025-10-13,18,36.8,78
2473,2025-10-13,17,40.8,78
2474,2025-10-13,28,40.8,78
2475,2025-10-13,1,36.0,78
2476,2025-10-13,23,37.6,78
2477,2025-10-13,7,28.4,78
2478,2025-10-13,14,38.4,78
2479,2025-10-13,13,10.0,78
2480,2025-10-13,12,11.2,78
2481,2025-10-13,11,30.8,78
2482,2025-10-13,9,37.2,78
2483,2025-10-13,6,37.6,78
2484,2025-10-13,3,33.6,78
2485,2025-10-13,16,34.0,78
2486,2025-10-13,5,40.0,78
2487,2025-10-13,4,38.4,78
2488,2025-10-13,2,34.4,78
2489,2025-10-13,15,41.2,78
2490,2025-10-13,10,36.0,78
2491,2025-10-13,8,37.6,78
2492,2025-10-13,9,37.2,78
2493,2025-10-13,13,10.0,78
2494,2025-10-13,22,38.4,78
2495,2025-10-13,17,40.8,78
2496,2025-10-13,19,36.0,78
2497,2025-10-13,27,8.8,78
2498,2025-10-13,23,37.6,78
2499,2025-10-13,25,41.6,78
2500,2025-10-13,21,16.0,78
2501,2025-10-13,26,25.6,78
2502,2025-10-13,18,36.8,78
2503,2025-10-13,1,36.0,78
2504,2025-10-13,2,34.4,78
2505,2025-10-13,24,39.2,78
2506,2025-10-13,15,41.2,78
2507,2025-10-13,12,11.2,78
2508,2025-10-13,6,37.6,78
2509,2025-10-13,20,37.6,78
2510,2025-10-13,3,33.6,78
2511,2025-10-13,14,38.4,78
2512,2025-10-13,4,38.4,78
2513,2025-10-13,5,40.0,78
2514,2025-10-13,28,40.8,78
2515,2025-10-13,8,37.6,78
2516,2025-10-13,16,34.0,78
2517,2025-10-13,10,36.0,78
2518,2025-10-13,11,30.8,78
2519,2025-10-13,7,28.4,78
2520,2025-10-14,6,38.8,79
2521,2025-10-14,16,34.4,79
2522,2025-10-14,26,23.6,79
2523,2025-10-14,18,39.2,79
2524,2025-10-14,24,41.2,79
2525,2025-10-14,21,16.0,79
2526,2025-10-14,22,37.6,79
2527,2025-10-14,23,38.8,79
2528,2025-10-14,27,11.6,79
2529,2025-10-14,19,36.0,79
2530,2025-10-14,1,38.8,79
2531,2025-10-14,25,40.8,79
2532,2025-10-14,15,40.8,79
2533,2025-10-14,8,37.6,79
2534,2025-10-14,12,12.4,79
2535,2025-10-14,17,40.4,79
2536,2025-10-14,7,29.6,79
2537,2025-10-14,9,38.4,79
2538,2025-10-14,10,35.6,79
2539,2025-10-14,5,40.0,79
2540,2025-10-14,11,33.2,79
2541,2025-10-14,28,39.6,79
2542,2025-10-14,13,10.0,79
2543,2025-10-14,4,30.8,79
2544,2025-10-14,3,31.6,79
2545,2025-10-14,14,41.6,79
2546,2025-10-14,2,33.2,79
2547,2025-10-14,20,36.4,79
2548,2025-10-14,17,40.4,79
2549,2025-10-14,1,38.8,79
2550,2025-10-14,19,36.0,79
2551,2025-10-14,20,36.4,79
2552,2025-10-14,27,11.6,79
2553,2025-10-14,7,29.6,79
2554,2025-10-14,26,23.6,79
2555,2025-10-14,18,39.2,79
2556,2025-10-14,23,38.8,79
2557,2025-10-14,24,41.2,79
2558,2025-10-14,16,34.4,79
2559,2025-10-14,22,37.6,79
2560,2025-10-14,15,40.8,79
2561,2025-10-14,25,40.8,79
2562,2025-10-14,13,10.0,79
2563,2025-10-14,14,41.6,79
2564,2025-10-14,3,31.6,79
2565,2025-10-14,4,30.8,79
2566,2025-10-14,5,40.0,79
2567,2025-10-14,2,33.2,79
2568,2025-10-14,9,38.4,79
2569,2025-10-14,8,37.6,79
2570,2025-10-14,6,38.8,79
2571,2025-10-14,12,12.4,79
2572,2025-10-14,10,35.6,79
2573,2025-10-14,28,39.6,79
2574,2025-10-14,21,16.0,79
2575,2025-10-14,11,33.2,79
2576,2025-10-15,23,42.4,80
2577,2025-10-15,1,38.8,80
2578,2025-10-15,17,42.4,80
2579,2025-10-15,20,38.8,80
2580,2025-10-15,9,42.4,80
2581,2025-10-15,22,41.2,80
2582,2025-10-15,3,33.2,80
2583,2025-10-15,25,43.6,80
2584,2025-10-15,15,41.6,80
2585,2025-10-15,6,40.0,80
2586,2025-10-15,7,42.4,80
2587,2025-10-15,28,41.2,80
2588,2025-10-15,27,12.4,80
2589,2025-10-15,14,46.8,80
2590,2025-10-15,12,14.4,80
2591,2025-10-15,10,38.8,80
2592,2025-10-15,19,35.6,80
2593,2025-10-15,8,41.2,80
2594,2025-10-15,24,38.8,80
2595,2025-10-15,5,43.2,80
2596,2025-10-15,18,41.2,80
2597,2025-10-15,4,38.8,80
2598,2025-10-15,21,17.2,80
2599,2025-10-15,2,34.0,80
2600,2025-10-15,26,24.8,80
2601,2025-10-15,13,12.4,80
2602,2025-10-15,11,35.6,80
2603,2025-10-15,16,32.8,80
2604,2025-10-15,26,24.8,80
2605,2025-10-15,27,12.4,80
2606,2025-10-15,1,38.8,80
2607,2025-10-15,23,42.4,80
2608,2025-10-15,22,41.2,80
2609,2025-10-15,8,41.2,80
2610,2025-10-15,18,41.2,80
2611,2025-10-15,3,33.2,80
2612,2025-10-15,15,41.6,80
2613,2025-10-15,14,46.8,80
2614,2025-10-15,10,38.8,80
2615,2025-10-15,7,42.4,80
2616,2025-10-15,21,17.2,80
2617,2025-10-15,5,43.2,80
2618,2025-10-15,25,43.6,80
2619,2025-10-15,16,32.8,80
2620,2025-10-15,4,38.8,80
2621,2025-10-15,12,14.4,80
2622,2025-10-15,20,38.8,80
2623,2025-10-15,2,34.0,80
2624,2025-10-15,11,35.6,80
2625,2025-10-15,13,12.4,80
2626,2025-10-15,6,40.0,80
2627,2025-10-15,17,42.4,80
2628,2025-10-15,28,41.2,80
2629,2025-10-15,24,38.8,80
2630,2025-10-15,9,42.4,80
2631,2025-10-15,19,35.6,80
2632,2025-10-16,8,43.2,81
2633,2025-10-16,7,40.8,81
2634,2025-10-16,26,27.6,81
2635,2025-10-16,25,46.0,81
2636,2025-10-16,10,40.8,81
2637,2025-10-16,4,41.2,81
2638,2025-10-16,24,42.0,81
2639,2025-10-16,23,44.0,81
2640,2025-10-16,2,36.8,81
2641,2025-10-16,6,41.2,81
2642,2025-10-16,5,42.8,81
2643,2025-10-16,1,38.8,81
2644,2025-10-16,3,36.8,81
2645,2025-10-16,17,43.6,81
2646,2025-10-16,25,46.0,81
2647,2025-10-16,23,44.0,81
2648,2025-10-16,22,43.6,81
2649,2025-10-16,19,38.8,81
2650,2025-10-16,20,41.2,81
2651,2025-10-16,21,16.4,81
2652,2025-10-16,18,42.4,81
2653,2025-10-16,9,43.6,81
2654,2025-10-16,16,30.0,81
2655,2025-10-16,15,41.6,81
2656,2025-10-16,14,48.4,81
2657,2025-10-16,11,40.8,81
2658,2025-10-16,24,42.0,81
2659,2025-10-16,26,27.6,81
2660,2025-10-16,27,6.4,81
2661,2025-10-16,1,38.8,81
2662,2025-10-16,12,18.4,81
2663,2025-10-16,15,41.6,81
2664,2025-10-16,14,48.4,81
2665,2025-10-16,12,18.4,81
2666,2025-10-16,27,6.4,81
